TransactionID,Timestamp,StoreName,BranchName,BranchID,TotalBranches,CustomerID,Category,Product,Quantity,UnitPrice,TotalAmount,Discount,FinalAmount,LoyaltyPoints,PaymentType
TXN000031,15-01-2025 09:40,SmartRetail,Indiranagar,1,5,1054192,Personal Care,Soap (125g),4,40,160,11.87,148.13,1,Wallet
TXN000032,19-06-2024 11:08,SmartRetail,Whitefield,2,5,1062019,Snacks,Chocolate,5,40,200,27.26,172.74,1,Cash
TXN000033,08-03-2025 16:30,SmartRetail,Whitefield,2,5,1084972,Dairy,Paneer (200g),2,85,170,8.5,161.5,1,Card
TXN000034,29-03-2025 12:44,SmartRetail,Yelahanka,5,5,1041969,Groceries,Cooking Oil (1L),2,130,260,29.54,230.46,2,UPI
TXN000035,23-10-2024 18:22,SmartRetail,Indiranagar,1,5,1019517,Groceries,Rice (5kg),4,280,1120,60.74,1059.26,10,UPI
TXN000036,26-12-2024 10:55,SmartRetail,Indiranagar,1,5,1024125,Groceries,Salt (1kg),5,20,100,10.8,89.2,0,Card
TXN000037,30-06-2024 10:24,SmartRetail,Yelahanka,5,5,1050188,Dairy,Curd (500g),5,35,175,22.78,152.22,1,Card
TXN000038,23-10-2024 20:52,SmartRetail,Indiranagar,1,5,1037893,Snacks,Lays Chips,1,20,20,2.42,17.58,0,Wallet
TXN000039,21-12-2024 08:11,SmartRetail,Indiranagar,1,5,1072616,Dairy,Milk (1L),3,55,165,7.34,157.66,1,Card
TXN000040,29-11-2024 21:11,SmartRetail,Indiranagar,1,5,1043736,Snacks,Chocolate,4,40,160,4.96,155.04,1,Wallet
TXN000041,23-02-2025 12:22,SmartRetail,Yelahanka,5,5,1007803,Groceries,Pulses (1kg),3,90,270,30.28,239.72,2,Cash
TXN000042,27-07-2024 21:23,SmartRetail,Indiranagar,1,5,1061360,Beverages,Red Bull (250ml),4,125,500,31.92,468.08,4,Wallet
TXN000043,30-11-2024 13:43,SmartRetail,Indiranagar,1,5,1056971,Beverages,Red Bull (250ml),4,125,500,2.24,497.76,4,Card
TXN000044,09-04-2025 09:38,SmartRetail,Koramangala,4,5,1033252,Beverages,Coca Cola (2L),5,85,425,41.06,383.94,3,Card
TXN000045,26-06-2024 19:46,SmartRetail,Koramangala,4,5,1093693,Groceries,Cooking Oil (1L),3,130,390,45.02,344.98,3,Cash
TXN000046,17-08-2024 19:33,SmartRetail,Indiranagar,1,5,1049819,Snacks,Chocolate,2,40,80,2.47,77.53,0,Wallet
TXN000047,03-03-2025 17:09,SmartRetail,Indiranagar,1,5,1079931,Personal Care,Facewash (100ml),1,160,160,0.07,159.93,1,Cash
TXN000048,30-09-2024 18:19,SmartRetail,Yelahanka,5,5,1022280,Personal Care,Shampoo (250ml),5,180,900,132.83,767.17,7,Cash
TXN000049,06-11-2024 10:58,SmartRetail,Indiranagar,1,5,1081758,Dairy,Paneer (200g),5,85,425,34.3,390.7,3,Card
TXN000050,06-10-2024 08:29,SmartRetail,Yelahanka,5,5,1098501,Snacks,Lays Chips,5,20,100,3.57,96.43,0,Card
TXN000051,06-03-2025 08:48,SmartRetail,Koramangala,4,5,1031022,Beverages,Bisleri Water (1L),2,20,40,3,37,0,Cash
TXN000052,25-09-2024 16:23,SmartRetail,Whitefield,2,5,1042032,Snacks,Biscuits,3,30,90,3.66,86.34,0,Card
TXN000053,16-06-2024 16:54,SmartRetail,Yelahanka,5,5,1071180,Groceries,Wheat Flour (5kg),4,250,1000,149.88,850.12,8,UPI
TXN000054,08-11-2024 12:16,SmartRetail,Indiranagar,1,5,1023574,Groceries,Cooking Oil (1L),4,130,520,58.35,461.65,4,Card
TXN000055,15-06-2024 12:57,SmartRetail,Whitefield,2,5,1087989,Groceries,Wheat Flour (5kg),1,250,250,36.41,213.59,2,Wallet
TXN000056,19-05-2025 14:53,SmartRetail,Indiranagar,1,5,1044054,Dairy,Paneer (200g),2,85,170,10.1,159.9,1,Card
TXN000057,21-01-2025 08:59,SmartRetail,Jayanagar,3,5,1025437,Groceries,Cooking Oil (1L),5,130,650,92.43,557.57,5,Wallet
TXN000058,07-02-2025 11:19,SmartRetail,Indiranagar,1,5,1014917,Dairy,Butter (100g),5,55,275,16.15,258.85,2,Card
TXN000059,05-09-2024 12:21,SmartRetail,Indiranagar,1,5,1064839,Dairy,Butter (100g),2,55,110,9.55,100.45,1,Card
TXN000060,14-06-2024 20:31,SmartRetail,Indiranagar,1,5,1093393,Personal Care,Shampoo (250ml),3,180,540,22.69,517.31,5,UPI
TXN000061,19-05-2025 14:47,SmartRetail,Koramangala,4,5,1081681,Personal Care,Toothpaste (150g),1,90,90,6.87,83.13,0,Cash
TXN000062,29-08-2024 09:49,SmartRetail,Whitefield,2,5,1066710,Dairy,Cheese (200g),2,120,240,35.94,204.06,2,Wallet
TXN000063,12-07-2024 10:51,SmartRetail,Koramangala,4,5,1004569,Beverages,Coca Cola (2L),5,85,425,27.75,397.25,3,Wallet
TXN000064,13-10-2024 13:13,SmartRetail,Jayanagar,3,5,1091329,Groceries,Salt (1kg),1,20,20,1.17,18.83,0,Wallet
TXN000065,21-07-2024 09:20,SmartRetail,Yelahanka,5,5,1041250,Snacks,Kurkure,4,15,60,8.16,51.84,0,Card
TXN000066,22-11-2024 20:56,SmartRetail,Yelahanka,5,5,1097016,Groceries,Cooking Oil (1L),4,130,520,39.37,480.63,4,UPI
TXN000067,14-10-2024 10:26,SmartRetail,Whitefield,2,5,1087637,Beverages,Bisleri Water (1L),1,20,20,2.74,17.26,0,UPI
TXN000068,10-04-2025 20:41,SmartRetail,Indiranagar,1,5,1050159,Personal Care,Soap (125g),2,40,80,7.1,72.9,0,Wallet
TXN000069,08-03-2025 09:13,SmartRetail,Whitefield,2,5,1005305,Beverages,Coca Cola (2L),2,85,170,20.87,149.13,1,Card
TXN000070,27-03-2025 20:38,SmartRetail,Whitefield,2,5,1066644,Groceries,Salt (1kg),1,20,20,2.98,17.02,0,Cash
TXN000071,24-11-2024 14:01,SmartRetail,Yelahanka,5,5,1045042,Snacks,Dry Fruits (250g),5,220,1100,52.73,1047.27,10,UPI
TXN000072,18-10-2024 10:56,SmartRetail,Indiranagar,1,5,1028969,Snacks,Lays Chips,3,20,60,7.38,52.62,0,Wallet
TXN000073,05-09-2024 10:36,SmartRetail,Yelahanka,5,5,1033390,Snacks,Dry Fruits (250g),4,220,880,118.15,761.85,7,Card
TXN000074,31-10-2024 13:39,SmartRetail,Koramangala,4,5,1093112,Beverages,Red Bull (250ml),3,125,375,33.3,341.7,3,UPI
TXN000075,23-05-2025 16:47,SmartRetail,Yelahanka,5,5,1055748,Dairy,Milk (1L),1,55,55,0.62,54.38,0,Wallet
TXN000076,05-01-2025 18:41,SmartRetail,Whitefield,2,5,1040913,Groceries,Wheat Flour (5kg),1,250,250,24.93,225.07,2,Wallet
TXN000077,16-10-2024 11:11,SmartRetail,Jayanagar,3,5,1025630,Dairy,Curd (500g),5,35,175,17.08,157.92,1,Cash
TXN000078,08-03-2025 10:30,SmartRetail,Whitefield,2,5,1039639,Groceries,Pulses (1kg),1,90,90,1.53,88.47,0,Cash
TXN000079,30-09-2024 09:15,SmartRetail,Yelahanka,5,5,1071675,Dairy,Butter (100g),3,55,165,15.11,149.89,1,UPI
TXN000080,27-07-2024 09:22,SmartRetail,Indiranagar,1,5,1015801,Snacks,Chocolate,4,40,160,22.36,137.64,1,UPI
TXN000081,10-10-2024 20:50,SmartRetail,Indiranagar,1,5,1058289,Groceries,Pulses (1kg),1,90,90,5.61,84.39,0,Cash
TXN000082,26-03-2025 19:28,SmartRetail,Indiranagar,1,5,1097808,Dairy,Curd (500g),1,35,35,1.97,33.03,0,Card
TXN000083,17-02-2025 21:18,SmartRetail,Koramangala,4,5,1003724,Dairy,Butter (100g),2,55,110,12.55,97.45,0,Cash
TXN000084,27-01-2025 15:12,SmartRetail,Whitefield,2,5,1029183,Snacks,Dry Fruits (250g),1,220,220,24.88,195.12,1,Cash
TXN000085,14-05-2025 20:38,SmartRetail,Koramangala,4,5,1009006,Snacks,Dry Fruits (250g),1,220,220,3.48,216.52,2,UPI
TXN000086,28-09-2024 19:59,SmartRetail,Jayanagar,3,5,1054112,Groceries,Salt (1kg),4,20,80,7.39,72.61,0,Wallet
TXN000087,08-11-2024 09:33,SmartRetail,Indiranagar,1,5,1077659,Personal Care,Toothpaste (150g),2,90,180,3.08,176.92,1,Card
TXN000088,03-05-2025 14:58,SmartRetail,Whitefield,2,5,1005332,Beverages,Coca Cola (2L),5,85,425,33.89,391.11,3,UPI
TXN000089,16-11-2024 18:51,SmartRetail,Yelahanka,5,5,1077174,Dairy,Milk (1L),5,55,275,8.26,266.74,2,Cash
TXN000090,06-01-2025 09:38,SmartRetail,Whitefield,2,5,1013187,Personal Care,Shampoo (250ml),4,180,720,13.27,706.73,7,UPI
TXN000091,24-09-2024 21:40,SmartRetail,Indiranagar,1,5,1079386,Dairy,Milk (1L),5,55,275,29.35,245.65,2,UPI
TXN000092,21-04-2025 08:34,SmartRetail,Indiranagar,1,5,1097868,Personal Care,Facewash (100ml),3,160,480,15.33,464.67,4,UPI
TXN000093,03-05-2025 21:04,SmartRetail,Jayanagar,3,5,1076987,Beverages,Red Bull (250ml),5,125,625,12.31,612.69,6,Wallet
TXN000094,09-03-2025 16:49,SmartRetail,Yelahanka,5,5,1031216,Beverages,Real Juice (1L),3,110,330,21.37,308.63,3,UPI
TXN000095,16-03-2025 14:29,SmartRetail,Koramangala,4,5,1020267,Snacks,Biscuits,4,30,120,15.99,104.01,1,Card
TXN000096,18-12-2024 16:45,SmartRetail,Koramangala,4,5,1080511,Personal Care,Shampoo (250ml),5,180,900,49.74,850.26,8,Wallet
TXN000097,10-10-2024 17:56,SmartRetail,Indiranagar,1,5,1097141,Groceries,Cooking Oil (1L),5,130,650,53.8,596.2,5,Wallet
TXN000098,05-05-2025 12:32,SmartRetail,Whitefield,2,5,1095220,Personal Care,Shampoo (250ml),2,180,360,43.42,316.58,3,UPI
TXN000099,02-01-2025 21:35,SmartRetail,Jayanagar,3,5,1034016,Personal Care,Shampoo (250ml),5,180,900,94.77,805.23,8,Cash
TXN000100,18-09-2024 16:36,SmartRetail,Yelahanka,5,5,1053427,Beverages,Bisleri Water (1L),2,20,40,5.85,34.15,0,Cash
TXN000101,13-09-2024 12:47,SmartRetail,Whitefield,2,5,1067995,Groceries,Cooking Oil (1L),3,130,390,41.14,348.86,3,Wallet
TXN000102,18-05-2025 09:47,SmartRetail,Indiranagar,1,5,1000626,Dairy,Butter (100g),5,55,275,26.9,248.1,2,Cash
TXN000103,13-06-2024 14:47,SmartRetail,Jayanagar,3,5,1004169,Personal Care,Soap (125g),3,40,120,15.95,104.05,1,UPI
TXN000104,20-10-2024 17:55,SmartRetail,Jayanagar,3,5,1060122,Dairy,Paneer (200g),2,85,170,24.88,145.12,1,Card
TXN000105,15-10-2024 15:20,SmartRetail,Koramangala,4,5,1037205,Personal Care,Shampoo (250ml),4,180,720,101.65,618.35,6,Cash
TXN000106,28-12-2024 21:36,SmartRetail,Jayanagar,3,5,1048210,Groceries,Wheat Flour (5kg),1,250,250,33.91,216.09,2,Card
TXN000107,09-12-2024 12:55,SmartRetail,Jayanagar,3,5,1004083,Snacks,Lays Chips,4,20,80,8.86,71.14,0,Cash
TXN000108,04-04-2025 12:17,SmartRetail,Koramangala,4,5,1085469,Personal Care,Toothpaste (150g),1,90,90,0.62,89.38,0,Card
TXN000109,17-10-2024 13:38,SmartRetail,Jayanagar,3,5,1029839,Snacks,Lays Chips,1,20,20,2.77,17.23,0,Cash
TXN000110,08-01-2025 15:42,SmartRetail,Whitefield,2,5,1059950,Snacks,Biscuits,5,30,150,14.3,135.7,1,Cash
TXN000111,06-04-2025 10:09,SmartRetail,Yelahanka,5,5,1015838,Groceries,Pulses (1kg),3,90,270,4.51,265.49,2,UPI
TXN000112,22-11-2024 09:23,SmartRetail,Yelahanka,5,5,1099810,Dairy,Milk (1L),2,55,110,1.97,108.03,1,Card
TXN000113,30-12-2024 21:28,SmartRetail,Yelahanka,5,5,1077091,Dairy,Butter (100g),1,55,55,6.77,48.23,0,Wallet
TXN000114,08-06-2024 11:13,SmartRetail,Yelahanka,5,5,1006291,Dairy,Cheese (200g),1,120,120,9.53,110.47,1,Card
TXN000115,15-04-2025 09:58,SmartRetail,Koramangala,4,5,1026036,Beverages,Real Juice (1L),4,110,440,40.57,399.43,3,Cash
TXN000116,21-08-2024 12:55,SmartRetail,Koramangala,4,5,1035278,Snacks,Biscuits,4,30,120,2.65,117.35,1,Wallet
TXN000117,21-05-2025 12:41,SmartRetail,Yelahanka,5,5,1092935,Snacks,Kurkure,3,15,45,1.18,43.82,0,Cash
TXN000118,13-06-2024 10:39,SmartRetail,Koramangala,4,5,1080622,Snacks,Chocolate,4,40,160,9.5,150.5,1,UPI
TXN000119,17-08-2024 20:18,SmartRetail,Koramangala,4,5,1023508,Groceries,Wheat Flour (5kg),2,250,500,17.82,482.18,4,UPI
TXN000120,27-10-2024 15:58,SmartRetail,Jayanagar,3,5,1083043,Dairy,Paneer (200g),1,85,85,4.04,80.96,0,Wallet
TXN000121,07-05-2025 13:33,SmartRetail,Koramangala,4,5,1034742,Dairy,Paneer (200g),1,85,85,12.5,72.5,0,Cash
TXN000122,24-05-2025 17:07,SmartRetail,Whitefield,2,5,1083607,Dairy,Paneer (200g),4,85,340,31.35,308.65,3,Wallet
TXN000123,06-05-2025 16:27,SmartRetail,Koramangala,4,5,1092845,Dairy,Milk (1L),5,55,275,33.4,241.6,2,Wallet
TXN000124,04-09-2024 18:50,SmartRetail,Indiranagar,1,5,1010003,Dairy,Paneer (200g),1,85,85,6.78,78.22,0,UPI
TXN000125,03-02-2025 12:59,SmartRetail,Jayanagar,3,5,1003397,Groceries,Cooking Oil (1L),3,130,390,39.52,350.48,3,Card
TXN000126,01-01-2025 12:51,SmartRetail,Koramangala,4,5,1018080,Groceries,Rice (5kg),1,280,280,7.86,272.14,2,UPI
TXN000127,04-09-2024 21:40,SmartRetail,Koramangala,4,5,1046384,Personal Care,Shampoo (250ml),3,180,540,80.65,459.35,4,UPI
TXN000128,28-11-2024 16:15,SmartRetail,Indiranagar,1,5,1094475,Personal Care,Facewash (100ml),2,160,320,0.37,319.63,3,Wallet
TXN000129,28-04-2025 11:29,SmartRetail,Indiranagar,1,5,1066044,Dairy,Butter (100g),1,55,55,7.74,47.26,0,Card
TXN000130,21-02-2025 20:28,SmartRetail,Indiranagar,1,5,1081059,Groceries,Cooking Oil (1L),3,130,390,47.25,342.75,3,Card
TXN000131,08-07-2024 09:35,SmartRetail,Yelahanka,5,5,1069195,Groceries,Rice (5kg),5,280,1400,175.42,1224.58,12,Cash
TXN000132,28-03-2025 08:22,SmartRetail,Jayanagar,3,5,1067116,Beverages,Red Bull (250ml),5,125,625,92.58,532.42,5,UPI
TXN000133,30-03-2025 17:45,SmartRetail,Indiranagar,1,5,1001646,Personal Care,Toothpaste (150g),5,90,450,27.94,422.06,4,Card
TXN000134,31-07-2024 15:38,SmartRetail,Jayanagar,3,5,1051466,Beverages,Real Juice (1L),2,110,220,12.25,207.75,2,Wallet
TXN000135,22-07-2024 12:48,SmartRetail,Jayanagar,3,5,1005399,Personal Care,Facewash (100ml),5,160,800,113.27,686.73,6,Wallet
TXN000136,16-01-2025 08:58,SmartRetail,Indiranagar,1,5,1076698,Beverages,Red Bull (250ml),3,125,375,0.69,374.31,3,Cash
TXN000137,27-02-2025 16:45,SmartRetail,Yelahanka,5,5,1074099,Snacks,Biscuits,2,30,60,3.3,56.7,0,Wallet
TXN000138,28-01-2025 15:24,SmartRetail,Jayanagar,3,5,1034549,Personal Care,Toothpaste (150g),4,90,360,17.76,342.24,3,Cash
TXN000139,10-09-2024 20:38,SmartRetail,Koramangala,4,5,1046987,Dairy,Paneer (200g),4,85,340,46.37,293.63,2,Wallet
TXN000140,23-10-2024 09:39,SmartRetail,Whitefield,2,5,1002688,Groceries,Salt (1kg),2,20,40,5.24,34.76,0,UPI
TXN000141,07-10-2024 12:52,SmartRetail,Whitefield,2,5,1000052,Beverages,Red Bull (250ml),3,125,375,46.6,328.4,3,Wallet
TXN000142,07-11-2024 09:30,SmartRetail,Indiranagar,1,5,1024368,Personal Care,Toothpaste (150g),1,90,90,1.5,88.5,0,Cash
TXN000143,25-08-2024 12:24,SmartRetail,Whitefield,2,5,1035351,Beverages,Real Juice (1L),2,110,220,10.41,209.59,2,Card
TXN000144,16-01-2025 19:44,SmartRetail,Jayanagar,3,5,1020094,Dairy,Cheese (200g),5,120,600,13.81,586.19,5,UPI
TXN000145,26-05-2024 09:45,SmartRetail,Koramangala,4,5,1072844,Beverages,Bisleri Water (1L),5,20,100,0.78,99.22,0,Wallet
TXN000146,03-01-2025 10:26,SmartRetail,Jayanagar,3,5,1029332,Snacks,Biscuits,4,30,120,13.58,106.42,1,Card
TXN000147,15-09-2024 10:13,SmartRetail,Jayanagar,3,5,1030076,Snacks,Dry Fruits (250g),3,220,660,93.53,566.47,5,Cash
TXN000148,17-03-2025 13:43,SmartRetail,Whitefield,2,5,1097056,Dairy,Butter (100g),1,55,55,1.4,53.6,0,UPI
TXN000149,28-12-2024 11:32,SmartRetail,Yelahanka,5,5,1093873,Beverages,Real Juice (1L),5,110,550,38.88,511.12,5,Card
TXN000150,28-07-2024 19:52,SmartRetail,Whitefield,2,5,1071130,Beverages,Coca Cola (2L),1,85,85,11.58,73.42,0,Card
TXN000151,20-10-2024 19:48,SmartRetail,Yelahanka,5,5,1037275,Personal Care,Soap (125g),4,40,160,22.05,137.95,1,UPI
TXN000152,01-05-2025 21:00,SmartRetail,Whitefield,2,5,1020980,Dairy,Paneer (200g),1,85,85,3.98,81.02,0,Wallet
TXN000153,24-05-2025 13:26,SmartRetail,Indiranagar,1,5,1083164,Groceries,Rice (5kg),3,280,840,64.83,775.17,7,Wallet
TXN000154,10-04-2025 17:33,SmartRetail,Indiranagar,1,5,1074273,Groceries,Sugar (1kg),2,45,90,1.02,88.98,0,Wallet
TXN000155,05-08-2024 18:44,SmartRetail,Whitefield,2,5,1015346,Groceries,Cooking Oil (1L),5,130,650,93.42,556.58,5,Wallet
TXN000156,04-01-2025 11:33,SmartRetail,Indiranagar,1,5,1091994,Snacks,Biscuits,1,30,30,3.46,26.54,0,Card
TXN000157,16-11-2024 13:20,SmartRetail,Koramangala,4,5,1034998,Beverages,Red Bull (250ml),4,125,500,25.51,474.49,4,Card
TXN000158,06-12-2024 08:25,SmartRetail,Whitefield,2,5,1029567,Beverages,Red Bull (250ml),4,125,500,32.14,467.86,4,UPI
TXN000159,14-12-2024 17:47,SmartRetail,Jayanagar,3,5,1072849,Dairy,Paneer (200g),4,85,340,22.25,317.75,3,UPI
TXN000160,27-12-2024 19:04,SmartRetail,Yelahanka,5,5,1012087,Dairy,Milk (1L),3,55,165,10.44,154.56,1,UPI
TXN000161,13-07-2024 09:07,SmartRetail,Jayanagar,3,5,1008059,Beverages,Red Bull (250ml),1,125,125,6.25,118.75,1,Wallet
TXN000162,26-09-2024 21:55,SmartRetail,Indiranagar,1,5,1098336,Snacks,Biscuits,4,30,120,17.06,102.94,1,Card
TXN000163,26-11-2024 08:30,SmartRetail,Koramangala,4,5,1038468,Dairy,Curd (500g),5,35,175,24.31,150.69,1,Wallet
TXN000164,03-06-2024 16:45,SmartRetail,Whitefield,2,5,1050734,Personal Care,Shampoo (250ml),1,180,180,26.45,153.55,1,UPI
TXN000165,10-10-2024 12:53,SmartRetail,Whitefield,2,5,1040629,Dairy,Cheese (200g),4,120,480,43.3,436.7,4,Card
TXN000166,13-12-2024 08:52,SmartRetail,Whitefield,2,5,1005014,Dairy,Butter (100g),3,55,165,14.14,150.86,1,Wallet
TXN000167,30-11-2024 08:44,SmartRetail,Whitefield,2,5,1012264,Dairy,Paneer (200g),1,85,85,0.91,84.09,0,Cash
TXN000168,03-09-2024 13:56,SmartRetail,Jayanagar,3,5,1010639,Groceries,Pulses (1kg),3,90,270,23.33,246.67,2,UPI
TXN000169,13-01-2025 12:22,SmartRetail,Koramangala,4,5,1001778,Groceries,Pulses (1kg),5,90,450,42.75,407.25,4,Cash
TXN000170,23-11-2024 11:29,SmartRetail,Jayanagar,3,5,1015804,Beverages,Bisleri Water (1L),5,20,100,8.85,91.15,0,Cash
TXN000171,21-11-2024 15:46,SmartRetail,Indiranagar,1,5,1055030,Dairy,Butter (100g),1,55,55,4.34,50.66,0,UPI
TXN000172,27-05-2024 12:46,SmartRetail,Jayanagar,3,5,1071786,Groceries,Wheat Flour (5kg),1,250,250,28.89,221.11,2,Card
TXN000173,04-02-2025 14:18,SmartRetail,Jayanagar,3,5,1037432,Snacks,Chocolate,4,40,160,12.53,147.47,1,UPI
TXN000174,09-07-2024 18:51,SmartRetail,Koramangala,4,5,1098123,Groceries,Rice (5kg),2,280,560,37.42,522.58,5,Cash
TXN000175,05-11-2024 13:27,SmartRetail,Jayanagar,3,5,1049411,Snacks,Biscuits,5,30,150,11.21,138.79,1,Card
TXN000176,16-01-2025 17:00,SmartRetail,Whitefield,2,5,1018760,Dairy,Curd (500g),5,35,175,11.62,163.38,1,Wallet
TXN000177,12-01-2025 12:01,SmartRetail,Yelahanka,5,5,1072887,Personal Care,Soap (125g),2,40,80,7.03,72.97,0,Card
TXN000178,25-11-2024 12:02,SmartRetail,Yelahanka,5,5,1039964,Groceries,Rice (5kg),5,280,1400,203.11,1196.89,11,Cash
TXN000179,12-05-2025 16:39,SmartRetail,Koramangala,4,5,1051675,Personal Care,Shampoo (250ml),1,180,180,21.61,158.39,1,Card
TXN000180,24-02-2025 08:47,SmartRetail,Yelahanka,5,5,1056117,Groceries,Rice (5kg),3,280,840,109.73,730.27,7,Wallet
TXN000181,27-01-2025 20:25,SmartRetail,Indiranagar,1,5,1042367,Dairy,Curd (500g),4,35,140,8.37,131.63,1,Cash
TXN000182,02-02-2025 17:17,SmartRetail,Jayanagar,3,5,1048321,Personal Care,Facewash (100ml),1,160,160,23.47,136.53,1,Card
TXN000183,22-02-2025 20:45,SmartRetail,Jayanagar,3,5,1074958,Personal Care,Toothpaste (150g),4,90,360,48.69,311.31,3,UPI
TXN000184,02-04-2025 11:27,SmartRetail,Jayanagar,3,5,1007662,Snacks,Biscuits,5,30,150,16.77,133.23,1,UPI
TXN000185,07-12-2024 19:19,SmartRetail,Indiranagar,1,5,1094756,Snacks,Biscuits,1,30,30,2.65,27.35,0,Wallet
TXN000186,04-07-2024 18:34,SmartRetail,Yelahanka,5,5,1061670,Groceries,Pulses (1kg),1,90,90,5.34,84.66,0,Card
TXN000187,31-08-2024 16:29,SmartRetail,Yelahanka,5,5,1098830,Beverages,Real Juice (1L),3,110,330,8.3,321.7,3,Card
TXN000188,05-04-2025 18:35,SmartRetail,Koramangala,4,5,1018084,Personal Care,Soap (125g),3,40,120,11.91,108.09,1,Cash
TXN000189,05-09-2024 15:01,SmartRetail,Indiranagar,1,5,1022291,Groceries,Rice (5kg),3,280,840,42.15,797.85,7,Wallet
TXN000190,13-02-2025 20:35,SmartRetail,Whitefield,2,5,1081329,Snacks,Dry Fruits (250g),5,220,1100,117.13,982.87,9,Card
